,Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg
615,"Minute Maid Light Lemonade, Small",5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
616,"Mocha Iced Coffee, Medium",210.0,3.0,32.0,28.0,0.0,0.0,8.0,5.0,0.0,40.0,0.0,25.0
617,"Mocha Iced Coffee, Small",170.0,2.0,28.0,25.0,0.0,0.0,6.0,3.5,0.0,30.0,0.0,20.0
618,"Pear Berry Fruit Tea, Large",320.0,0.0,82.0,76.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
619,"Pear Berry Fruit Tea, Medium",300.0,0.0,76.0,70.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0
620,"Pear Berry Fruit Tea, Small",170.0,0.0,44.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
621,"Skinny Vanilla Iced Coffee, Medium",100.0,3.0,14.0,0.0,0.0,0.0,8.0,5.0,0.0,45.0,0.0,25.0
622,"Skinny Vanilla Iced Coffee, Small",70.0,2.0,6.0,0.0,0.0,0.0,5.0,3.5,0.0,30.0,0.0,15.0
623,"Small Sprite, Small",200.0,0.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0
624,"Sprite, Large",390.0,0.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0
625,"Sprite, Medium",310.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0
626,"Strawberry Lemonade, Large",480.0,0.0,121.0,114.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0
627,"Strawberry Lemonade, Medium",380.0,0.0,98.0,92.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
628,"Strawberry Lemonade, Small",230.0,0.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
629,"Strawberry Sweet Tea, Large",270.0,0.0,69.0,67.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
630,"Strawberry Sweet Tea, Medium",240.0,0.0,60.0,59.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
631,"Strawberry Sweet Tea, Small",140.0,0.0,36.0,35.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
632,"Strawberry Tea, Large",90.0,0.0,22.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
633,"Strawberry Tea, Medium",60.0,0.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
634,"Strawberry Tea, Small",45.0,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
635,"Sweetened Iced Tea, Large",300.0,0.0,77.0,75.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
636,"Sweetened Iced Tea, Medium",220.0,0.0,58.0,56.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
637,"Sweetened Iced Tea, Small",160.0,0.0,41.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
638,"Vanilla Iced Coffee, Medium",250.0,3.0,42.0,39.0,0.0,0.0,8.0,5.0,0.0,40.0,0.0,25.0
639,"Vanilla Iced Coffee, Small",170.0,2.0,28.0,26.0,0.0,0.0,6.0,3.5,0.0,30.0,0.0,20.0
640,"Classic Chocolate Frosty, Junior",200.0,6.0,33.0,27.0,0.0,0.0,5.0,3.0,0.0,90.0,0.0,20.0
641,"Classic Chocolate Frosty, Large",590.0,17.0,99.0,81.0,0.0,0.0,15.0,10.0,0.5,260.0,0.0,60.0
642,"Classic Chocolate Frosty, Medium",470.0,13.0,79.0,65.0,0.0,0.0,12.0,8.0,0.5,210.0,0.0,50.0
643,"Classic Chocolate Frosty, Small",350.0,10.0,58.0,47.0,0.0,0.0,9.0,6.0,0.0,150.0,0.0,35.0
644,"Vanilla Frosty, Junior",190.0,5.0,32.0,27.0,0.0,0.0,5.0,3.5,0.0,90.0,0.0,25.0
645,"Vanilla Frosty, Large",570.0,15.0,94.0,78.0,0.0,0.0,15.0,10.0,0.5,260.0,0.0,70.0
646,"Vanilla Frosty, Medium",450.0,12.0,75.0,63.0,0.0,0.0,12.0,8.0,0.5,210.0,0.0,55.0
