,Food_name,Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg
80,Parle 2 In 1 Eclairs Toffee,412.0,2.5,79.1,54.4,38.7,0.0,9.5,4.4,0.0,129.0,0.0,0.0
81,Parle Milano Center Filled Choco,528.0,3.2,64.9,38.0,0.0,0.0,28.4,14.7,0.0,0.0,0.0,0.0
82,Nestle Milkybar Chocolate,488.0,9.0,43.3,41.3,29.1,1.4,30.9,28.4,0.07,213.3,0.0,0.0
83,Nestle Munch Maha Choco Taste,435.0,5.6,49.8,33.6,30.0,0.0,23.8,23.5,0.06,82.2,0.0,0.0
84,Nestlé Classic Chocolate,533.0,8.7,59.6,57.7,43.7,1.7,28.9,24.9,0.0,122.0,0.0,0.0
85,Nestlé Kitkat Bars,438.0,6.4,47.4,35.1,28.9,0.0,24.8,24.5,0.04,97.4,0.0,0.0
86,Britannia Treat Croissant ,404.0,5.5,59.0,28.2,26.2,0.0,16.2,8.5,0.0,138.0,0.0,1.0
87,Britannia Pure Magic Chocolush ,528.0,5.0,64.0,34.0,0.0,0.0,28.0,12.0,0.0,0.0,0.0,0.0
88,Britannia 50-50 Sweet & Salty Biscuits,487.0,7.0,72.0,19.5,0.0,0.0,19.0,9.0,0.0,0.0,0.0,0.0
89,Britannia Nice Time,463.0,6.0,76.0,30.5,27.6,0.0,15.0,8.0,0.0,274.0,0.0,0.0
90,Britannia Treat Crème Wafers - Vanilla Flavoured Wafer Biscuit,550.0,4.4,60.0,36.2,30.0,0.0,33.6,25.4,0.0,106.0,0.0,0.0
91,Britannia Biscafe - Super Thin Coffee Cracker,485.0,6.8,71.8,22.6,21.5,0.0,19.0,9.3,0.0,462.0,0.0,3.5
92,Britannia Good Day  Chunkies,512.0,5.0,62.0,32.5,0.0,0.0,27.0,8.5,2.0,0.0,0.0,4.0
93,Britannia 50-50 Golmaal Light Crackers with Kaala Jeera Biscuits,508.0,6.4,68.4,21.8,20.8,0.0,23.2,11.2,0.0,458.0,0.0,0.0
94,Britannia Tiger Krunch Chocochip Biscuits,483.0,6.0,72.0,30.0,0.0,0.0,19.0,8.0,0.0,0.0,7.0,0.0
95,PAZZTA Maggi Masala Penne Pasta,279.0,8.9,58.0,6.9,3.1,3.5,2.0,1.5,0.01,803.0,0.0,2.0
96,MAGGI Nutri-licious Veg Atta Masala Noodles,321.0,8.1,50.1,2.0,1.1,4.1,11.1,8.5,0.16,805.8,6.62,0.0
97,"MAGGI 2-Minute Spicy Manchurian Noodles,",332.0,8.1,48.0,0.9,0.7,0.0,12.0,8.1,0.15,1040.0,0.0,0.0
98,MAGGI Korean BBQ Chicken Noodles,336.0,9.0,44.8,2.4,2.0,0.0,13.4,7.4,0.14,858.7,0.0,3.0
99,MAGGI Korean BBQ Veg Noodles,321.0,8.2,41.6,3.2,2.7,0.0,13.5,7.6,0.14,915.7,0.0,0.0
100,Maggi 2-Minute Spicy Garlic Noodles,331.0,7.7,48.8,1.9,1.8,0.0,12.1,8.2,0.15,1023.6,0.0,0.0
101,Tata Sampann Yumside Instant Schezwan Veg Noodles,124.0,3.9,7.3,5.0,0.2,2.0,8.8,1.6,0.03,547.2,0.0,0.0
102,Tata Sampann Yumside Cheesy Instant Pasta,84.1,5.4,8.7,3.3,0.0,2.4,3.1,2.2,0.1,455.4,0.0,3.3
103,Tata Sampann Yumside Ready to Eat Chicken Tikka Sausage,208.0,11.1,11.6,0.8,0.8,3.2,13.0,4.4,0.0,1369.0,0.0,74.5
104,Tata Sampann Yumside Tomato Fusilli Instant Pasta,104.0,3.6,15.1,7.5,4.7,1.9,3.3,1.3,0.08,479.9,0.0,1.0
105,Tata Sampann Yumside Ready to Eat Chana Masala,105.0,4.9,15.8,2.3,0.0,13.4,2.5,0.6,0.03,504.4,0.0,0.0
106,"Tata Sampann Yumside Ready to Eat Butter Chicken,",152.0,4.4,0.6,1.9,0.4,0.2,11.1,3.1,0.14,394.3,0.0,30.4
107,"Tata Sampann Yumside Ready to Eat Chicken Biryani,",181.0,8.4,28.0,0.0,0.0,3.0,3.9,1.9,0.2,550.0,0.0,5.46
108,"Tata Sampann Yumside Ready to Eat Schezwan Fried Rice,",171.0,3.1,30.3,1.7,0.0,1.0,5.0,0.7,0.0,851.0,0.0,0.0
109,"Tata Sampann Yumside Ready to Eat Paneer Makhani,",176.0,8.7,8.4,2.3,0.5,0.4,11.9,3.9,0.11,335.6,0.0,3.9
110,Tata Sampann Yumside Ready to Eat Dal Makhani,147.0,5.1,13.0,1.5,0.0,1.9,8.3,4.5,0.17,438.8,0.0,22.0
111,Haldiram's Nagpur Moong Dal,468.0,19.51,50.35,0.0,0.0,1.46,20.94,7.73,0.0,0.0,0.0,0.0
112,Haldiram's Nagpur Khatta Meetha,530.0,9.26,57.3,4.26,0.0,4.01,29.25,12.48,0.0,368.0,0.0,0.0
113,Haldiram's Boondi Plain,578.9,10.8,46.4,2.3,0.0,6.2,38.9,13.6,0.1,0.0,0.0,0.0
114,Haldirams Fatafat Bhel,526.0,11.0,53.0,15.0,12.0,0.0,30.0,12.0,0.1,550.0,0.0,2.64
115,Haldiram's Nagpur Orange Burfee,296.0,3.38,66.91,57.74,54.05,1.81,1.3,0.52,0.0,26.08,0.0,0.0
116,Haldiram's Nagpur Mixture,524.28,16.78,46.37,0.0,0.0,0.0,30.15,10.1,0.0,107.0,0.0,0.0
117, Haldirams Peanut ,610.0,26.0,18.5,0.5,0.0,0.0,48.0,24.0,0.1,0.0,0.0,0.0
118,"
Haldiram's Namkeen",549.7,19.2,40.6,2.9,0.0,0.0,34.5,6.8,0.1,658.2,0.0,0.0
119,Haldirams Namkeen  Murruku,555.0,10.0,50.0,0.1,0.0,0.0,35.0,16.0,0.1,720.0,0.0,1.0
120,Haldirams Bhujia Plain,581.3,13.4,39.9,4.1,0.0,0.0,40.9,13.5,0.1,922.2,0.0,0.0
121,Haldirams Chatpata Dal ,465.84,19.7,54.8,2.4,0.0,0.0,18.7,4.3,0.0,575.8,0.0,0.0
122,Haldiram's Long Sev,612.1,12.9,36.4,2.6,0.0,0.0,46.1,15.7,0.1,765.6,0.0,0.0
123,Haldirams Gathia,619.0,13.2,32.2,3.1,0.0,4.0,48.0,21.6,0.1,469.7,0.0,0.1
124,Haldiram's Nagpur Mini Samosa,504.0,7.13,50.36,4.83,0.0,0.63,30.5,12.73,0.0,638.0,0.0,0.0
125,Haldirams Nagpur Whole Salted Peanuts,591.82,25.6,25.31,0.0,0.0,3.06,44.26,19.0,0.0,0.0,0.0,0.0
126,Haldiram's Nagpur Whole Tasty Nuts,624.52,21.24,23.34,0.0,0.0,0.0,49.53,8.39,0.0,493.0,0.0,0.0
127,Haldiram's Chana Jor Garam ,488.52,16.6,53.0,3.9,0.0,0.0,23.4,6.0,0.0,435.1,0.0,0.0
128,Haldiram's Panchrattan,548.0,12.0,44.0,2.5,0.0,0.0,36.0,8.0,0.1,0.0,0.0,0.0
129,Haldiram's Delhi Nimbu Masala,544.26,9.8,51.7,2.7,0.0,0.0,33.2,10.0,0.0,1000.0,0.0,0.0
130,Haldiram's Snack  Mathri,567.45,4.0,57.0,1.0,0.0,0.0,36.0,20.0,0.0,1214.0,0.0,0.0
131,Haldiram's Nagpur Punjabi Tadka,579.58,7.16,42.43,0.23,0.0,0.0,42.31,18.62,0.0,610.0,0.0,0.0
132,Haldiram's Nagpur Mini Bhakarwadi,539.0,7.77,49.89,4.82,0.0,3.1,34.22,11.22,0.0,434.0,0.0,0.0
133,Bisk Farm Marie Biscuit,413.17,7.4,67.25,18.73,0.0,0.0,13.01,6.2,0.0,0.0,0.0,0.0
134,Bisk Farm Biscuit  Googly,495.78,7.44,68.53,19.03,0.0,0.0,22.76,11.79,0.0,0.0,1.7,0.0
135,Bisk Farm Biscuit - Cheese Cream,505.16,21.55,53.57,7.5,0.0,0.0,22.63,13.7,0.0,0.0,1.69,26.49
136,Bisk Farm Coco Malai Biscuit,469.48,8.23,69.84,24.18,0.0,0.0,20.03,11.42,0.0,0.0,0.0,0.0
137,Amul Dark Chocolate Bar Fruit N Nut,556.0,7.1,55.0,0.0,37.0,0.0,34.2,17.5,0.0,0.0,0.0,0.0
138,Fresh Produce Amul Single Origin Milk Chocolate,568.0,9.5,49.7,0.0,33.8,0.0,36.9,22.2,0.0,0.0,0.0,0.0
139,Amul India Twilight Tryst Dark Chocolate,560.0,7.7,55.4,0.0,43.0,0.0,34.2,20.7,0.0,0.0,0.0,0.0
140,Amul Tropical Orange Chocolate,554.0,14.2,43.0,0.0,10.0,0.0,36.1,21.5,0.0,0.0,0.0,0.0
141,Amul Fruit N Nut Chocolate I Love You,556.0,7.1,55.0,0.0,37.0,0.0,34.2,17.5,0.0,0.0,0.0,0.0
142,AMUL ALMONDO Chocolate,583.0,12.6,41.4,0.0,30.9,0.0,40.8,11.2,0.0,0.0,0.0,0.0
143,Amul Smooth & Creamy Milk Chocolate,550.0,9.2,55.0,0.0,40.0,0.0,32.6,19.8,0.0,0.0,0.0,0.0
144,Amul Belgian Milk Chocolate,554.0,14.2,43.0,0.0,10.0,0.0,36.1,21.5,0.0,0.0,0.0,0.0
