Food_name,Energy(kcal)_per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Cholesterol per 100 mg,Sodium(mg) per 100 g,Carbohydrate(g) per 100 g,fibre(g) per 100 g,total sugar(g) per 100 g,Protein(g) per 100 g
Hot Chocolate (Medium),380,15,9,0.5,30,170,53,0,45,10
Hot Chocolate (Large),460,18,10,0.5,40,220,63,0,54,13
Iced Latte (Small),80,4.5,2.5,0,15,65,6,0,6,4
Iced Latte (Medium),100,6,3.5,0,15,80,8,0,8,6
Iced Latte (Large),140,8,4.5,0,25,105,10,0,10,7
Iced Caramel Latte (Small),160,3,1.5,0,10,100,29,0,29,3
Iced Caramel Latte (Medium),180,4.5,2.5,0,15,120,31,0,31,4
Iced Caramel Latte (Large),230,6,3.5,0,15,150,40,0,40,6
Iced Hazelnut Latte (Small),160,3,1.5,0,10,45,31,0,31,3
Iced Hazelnut Latte (Medium),180,4.5,2.5,0,15,65,33,0,33,4
Iced Hazelnut Latte (Large),230,6,3.5,0,15,85,41,0,41,6
Iced Vanilla Latte (Small),160,3,1.5,0,10,45,31,0,31,3
Iced Vanilla Latte (Medium),190,4.5,2.5,0,15,70,33,0,33,5
Iced Vanilla Latte (Large),230,6,3.5,0,15,85,41,0,41,6
Iced Latte with Sugar Free Vanilla Syrup (Small),60,3,2,0,10,80,12,0,4,3
Iced Latte with Sugar Free Vanilla Syrup (Medium),90,5,3,0,15,105,14,0,6,5
Iced Latte with Sugar Free Vanilla Syrup (Large),110,6,3.5,0,15,130,19,0,8,6
Iced Mocha (Medium),310,13,8,0,25,140,42,0,35,7
Caramel Mocha (Large),360,14,8,0.5,35,220,47,0,46,10
Caramel Mocha (Medium),290,12,7,0,25,180,39,0,38,8
Caramel Mocha (Small),250,11,6,0,25,150,33,0,31,7
Iced Caramel Mocha (Large),380,16,9,0.5,35,210,48,0,46,10
Iced Caramel Mocha (Medium),300,14,8,0,30,160,36,0,33,8
Iced Caramel Mocha (Small),240,12,7,0,25,130,29,0,26,6
Frappe Caramel (Small),450,20,13,1,55,135,61,0,57,6
Frappe Caramel (Medium),550,24,15,1,70,160,76,0,71,8
Frappe Caramel (Large),680,29,18,1.5,85,200,94,0,88,10
Frappe Mocha (Small),450,20,13,1,55,130,62,1,56,7
Frappe Mocha (Medium),560,24,15,1,65,160,78,1,70,8
Frappe Mocha (Large),680,28,18,1,80,200,96,1,87,10
Strawberry Banana Smoothie (Large),330,1,0.5,0,5,55,77,4,70,3
Strawberry Banana Smoothie (Medium),260,1,0,0,5,40,60,3,54,2
Strawberry Banana Smoothie (Small),210,0.5,0,0,5,35,49,2,44,2
Wild Berry Smoothie (Large),320,1,0.5,0,5,45,75,4,69,3
Wild Berry Smoothie (Medium),260,1,0,0,5,35,60,4,55,3
Wild Berry Smoothie (Small),210,0.5,0,0,5,30,48,3,44,2
Whopper® Sandwich,660,40,12,1.5,90,980,49,2,11,28
Whopper® Sandwich with Cheese,740,46,16,2,115,1340,50,2,11,32
Bacon & Cheese Whopper® Sandwich,790,51,17,2,125,1560,50,2,11,35
Double Whopper® Sandwich,900,58,20,3,175,1050,49,2,11,48
Double Whopper® Sandwich with Cheese,980,64,24,3,195,1410,50,2,11,52
Triple Whopper® Sandwich,1130,75,28,4,255,1120,49,2,11,67
Triple Whopper® Sandwich with Cheese,1220,82,32,4.5,280,1470,50,2,11,71
Whopper JR.® Sandwich,310,18,5,0.5,40,390,27,1,7,13
Bacon King Sandwich,1150,79,31,3.5,240,2150,49,2,10,61
Cheddar Bacon King Sandwich,1190,84,33,3.5,235,1930,50,2,11,64
Single Quarter Pound King Sandwich,580,29,13,1.5,105,1310,49,2,10,32
Double Quarter Pound King Sandwich,900,54,25,3,210,1740,50,2,11,56
Single Stacker King,700,42,16,2,125,1360,48,1,10,35
Double Stacker King,1050,68,28,3.5,235,1870,49,1,11,61
IMPOSSIBLE Whopper® Sandwich,630,34,11,0,10,1080,58,4,12,25
Hamburger,240,10,3.5,0.5,35,380,26,1,6,13
Cheeseburger,280,13,6,0.5,45,560,27,1,7,15
Double Hamburger,350,18,7,1,70,410,26,1,6,21
Double Cheeseburger,390,21,9,1.5,85,590,27,1,7,23
Extra Long Cheeseburger,630,37,14,1.5,100,1050,45,2,9,29
Bacon Cheeseburger,320,16,7,0.5,55,710,27,1,7,17
Bacon Double Cheeseburger,420,24,10,1.5,90,740,27,1,7,25
Crispy Chicken Sandwich,670,41,7,0,60,1080,54,2,8,23
Spicy Crispy Chicken Sandwich,700,42,7,0,65,1140,57,3,8,25
Original Chicken Sandwich,660,40,7,0,75,1170,48,2,5,28
Bacon & Cheese Crispy Chicken Sandwich,800,52,13,1,95,1650,55,2,8,30
BBQ Bacon Crispy Chicken Sandwich,790,49,10,0.5,80,1630,60,2,13,28
Crispy Chicken Jr.,450,30,5,0,30,780,34,2,5,12
