Energy(kcal)_per 100 g,Protein(g) per 100 g,Carbohydrate(g) per 100 g,total sugar(g) per 100 g,Added  Sugar(g) per 100 g,fibre(g) per 100 g,total fat (g) per 100 gms,saturated fat (g) per 100 g,trans fat (g) _per 100 g,Sodium(mg) per 100 g,iron (mg) per 100 gm,Cholesterol per 100 mg,Health_Label_for_normal_person,Health_Label_High_Cholesterol,Health_Label_High_fat,Health_Label_High_sugar
91.0,4.7,15.1,7.2,0.0,0.0,1.3,0.8,0.0,72.0,0.05,9.0,0,1.0,1,1.0
59.0,2.6,9.0,5.0,0.0,0.0,1.4,0.841,0.0,100.0,0.0,5.0,0,1.0,1,1.0
149.0,3.0,25.0,16.0,0.0,0.4,5.0,2.869,0.0,72.0,0.03,16.0,0,1.0,1,1.0
78.0,2.99,12.13,9.55,0.0,0.7,1.9,1.177,0.0,66.0,0.24,8.0,0,1.0,1,1.0
105.0,4.86,18.6,2.9,0.0,0.0,1.41,0.909,0.0,58.0,0.07,6.0,0,1.0,1,1.0
265.0,20.0,1.37,0.0,0.0,0.0,20.0,13.317,0.0,1529.0,0.9,88.0,0,1.0,1,0.0
251.0,0.69,35.07,33.04,0.0,1.1,13.5,2.635,0.0,67.0,0.59,0.0,0,0.0,1,1.0
482.0,0.68,75.42,58.01,0.0,1.2,21.47,19.446,0.0,123.0,0.63,0.0,0,0.0,1,1.0
274.0,24.7,3.5,0.55,0.0,0.0,17.6,11.3,0.0,615.0,0.52,55.0,0,1.0,1,1.0
282.0,24.69,3.41,0.56,0.0,0.0,19.4,11.58,0.0,776.0,0.13,62.0,0,1.0,1,1.0
61.0,3.15,4.78,5.05,0.0,0.0,3.27,1.865,0.0,43.0,0.03,10.0,0,1.0,1,1.0
496.0,26.32,38.42,38.42,0.0,0.0,26.71,16.742,0.0,371.0,0.47,97.0,0,1.0,1,1.0
135.0,6.81,10.04,10.04,0.0,0.0,7.56,4.591,0.0,106.0,0.19,29.0,0,1.0,1,1.0
240.0,17.6,10.6,8.02,0.0,0.0,14.1,8.85,0.0,1201.0,0.2,53.0,0,1.0,1,1.0
99.0,3.98,18.64,18.64,0.0,0.0,1.15,0.742,0.0,53.0,0.06,5.0,0,1.0,1,1.0
102.0,4.37,19.05,19.05,0.0,0.0,1.08,0.697,0.0,58.0,0.07,4.0,0,1.0,1,1.0
95.0,4.4,19.0,19.0,0.0,0.0,0.2,0.119,0.0,58.0,0.07,2.0,0,1.0,1,1.0
105.0,4.86,18.6,2.9,0.0,0.0,1.41,0.909,0.0,58.0,0.07,6.0,0,1.0,1,1.0
85.0,4.93,13.8,13.8,0.0,0.0,1.25,0.806,0.0,66.0,0.07,5.0,0,1.0,1,1.0
43.0,3.86,7.5,7.5,0.0,0.0,0.18,0.116,0.0,59.0,0.12,2.0,0,1.0,1,1.0
112.0,3.53,23.53,14.97,0.0,1.2,0.0,0.0,0.0,135.0,0.42,1.0,0,1.0,0,1.0
411.0,45.71,18.5,5.71,0.0,7.1,17.14,1.553,0.0,329.0,8.57,21.0,0,1.0,1,1.0
396.0,50.0,22.0,4.0,0.0,2.0,12.0,1.087,0.0,250.0,12.0,10.0,0,1.0,1,1.0
315.0,6.84,55.35,49.74,0.0,0.0,7.35,4.534,0.0,129.0,0.17,29.0,0,1.0,1,1.0
48.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,199.0,1.98,0.0,0,0.0,0,1.0
299.0,18.09,2.98,2.32,0.0,0.0,23.82,12.94,0.0,751.0,0.2,69.0,0,1.0,1,1.0
62.0,3.21,4.88,4.88,0.0,0.0,3.31,1.899,0.0,105.0,0.03,11.0,0,1.0,1,1.0
86.0,4.93,13.8,5.43,0.0,0.0,1.25,0.752,0.0,66.0,0.07,5.0,0,1.0,1,1.0
104.0,4.4,19.7,12.61,0.0,2.0,0.8,0.488,0.0,81.0,0.04,4.0,0,1.0,1,1.0
222.0,4.1,22.2,21.16,0.0,0.7,13.0,7.46,0.0,61.0,0.21,91.0,0,1.0,1,1.0
331.0,4.1,24.5,18.3,0.0,0.8,24.1,13.202,0.0,68.0,0.29,28.0,0,1.0,1,1.0
237.0,4.29,37.14,18.57,0.0,0.0,8.57,2.317,0.0,129.0,0.26,21.0,0,1.0,1,1.0
240.0,3.7,39.6,21.3,0.0,1.2,7.4,1.663,0.0,162.0,1.1,6.0,0,1.0,1,1.0
354.0,5.21,34.38,25.0,0.0,1.0,21.88,11.458,0.0,94.0,0.0,21.0,0,1.0,1,1.0
186.0,4.29,39.64,17.86,0.0,0.0,3.04,0.821,0.0,146.0,0.09,7.0,0,1.0,1,1.0
200.0,5.71,42.86,6.58,0.0,7.1,2.86,0.821,0.0,164.0,0.0,21.0,0,1.0,1,1.0
129.0,4.41,27.94,8.82,0.0,7.4,0.0,0.0,0.0,110.0,0.0,0.0,0,0.0,0,1.0
147.0,4.41,33.09,22.06,0.0,6.6,1.47,0.81,0.0,92.0,0.53,7.0,0,1.0,1,1.0
88.0,4.4,11.88,2.64,0.0,2.2,3.08,0.232,0.0,92.0,1.98,2.0,0,1.0,1,1.0
358.0,23.54,1.75,1.23,0.0,0.0,28.51,17.027,0.0,338.0,0.59,95.0,0,1.0,1,1.0
307.0,16.09,8.85,6.24,0.0,0.0,23.06,12.931,0.0,1279.0,0.95,78.0,0,1.0,1,1.0
371.0,18.13,3.7,2.26,0.0,0.0,31.79,18.057,0.0,1671.0,0.63,100.0,0,1.0,1,1.0
330.0,16.86,8.56,5.59,0.0,0.0,25.63,15.057,0.0,1441.0,0.26,98.0,0,1.0,1,1.0
138.0,10.97,0.83,0.07,0.0,0.0,10.07,3.178,0.0,3663.0,1.71,387.0,0,1.0,1,1.0
59.0,10.19,3.6,3.24,0.0,0.0,0.39,0.117,0.0,36.0,0.07,5.0,0,1.0,1,1.0
357.0,84.08,4.51,0.0,0.0,0.0,0.32,0.118,0.0,1299.0,0.18,0.0,0,0.0,1,0.0
176.0,13.41,10.71,7.06,0.0,0.0,8.88,5.647,0.0,1102.0,0.36,38.0,0,1.0,1,1.0
309.0,27.35,4.06,0.26,0.0,0.0,20.41,12.602,0.0,628.0,0.12,76.0,0,1.0,1,1.0
141.0,3.36,23.15,19.46,0.0,0.0,3.69,2.349,0.0,64.0,0.6,15.0,0,1.0,1,1.0
358.0,2.11,37.12,21.05,0.0,1.1,25.26,17.895,0.0,84.0,0.0,16.0,0,1.0,1,1.0
157.0,32.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,18.0,0,1.0,0,0.0
127.0,28.4,3.4,1.33,0.0,0.0,0.0,0.0,0.0,1000.0,0.17,18.0,0,1.0,0,1.0
366.0,20.0,3.97,0.0,0.0,0.0,30.0,17.5,0.0,1400.0,0.0,100.0,0,1.0,1,0.0
410.0,24.25,2.13,0.27,0.0,0.0,33.82,19.368,0.0,644.0,0.16,99.0,1,1.0,1,1.0
304.0,23.63,8.06,2.24,0.0,0.0,19.72,11.472,0.0,682.0,0.23,65.0,0,1.0,1,1.0
